timestamp,ax,ay,az,gx,gy,gz,grx,gry,grz
1773140864.359744,-0.046222,-0.189273,0.729449,-2.764379,-2.003739,0.287759,0.935886,0.348849,-0.049212
1773140864.379842,-0.093163,-0.086014,0.626342,-3.040107,-1.894386,0.149014,0.935189,0.348053,-0.065429
1773140864.399938,-0.185688,-0.079027,0.557971,-3.133533,-1.691587,0.086562,0.933399,0.350313,-0.077762
1773140864.419768,-0.256771,-0.080098,0.538387,-3.257550,-1.447148,0.048453,0.931302,0.354283,-0.084621
1773140864.440053,-0.295287,-0.012408,0.511562,-3.169045,-1.071803,0.039697,0.929366,0.359225,-0.085063
1773140864.462027,-0.255673,-0.018599,0.441174,-2.893856,-0.857550,0.109617,0.928342,0.362822,-0.080884
1773140864.480381,-0.210400,-0.043777,0.391534,-2.718607,-0.862069,0.193391,0.928051,0.364563,-0.076257
1773140864.500622,-0.235894,0.016786,0.387350,-2.624774,-0.788505,0.272257,0.928551,0.364104,-0.072256
1773140864.520475,-0.250733,0.037764,0.377424,-2.512124,-0.650717,0.363779,0.929810,0.361879,-0.067060
1773140864.540558,-0.216286,0.052039,0.337100,-2.338509,-0.579069,0.513632,0.932106,0.357003,-0.061053
1773140864.561922,-0.171155,0.090623,0.329430,-2.231146,-0.563440,0.625386,0.935407,0.349105,-0.056038
1773140864.580978,-0.139475,0.126993,0.342593,-2.150375,-0.595400,0.762998,0.939524,0.338461,-0.052340
1773140864.600709,-0.150268,0.213402,0.367718,-2.144576,-0.588607,0.891412,0.944397,0.325050,-0.049573
1773140864.620820,-0.169243,0.304073,0.380049,-2.128573,-0.564475,0.987894,0.949822,0.309254,-0.046904
1773140864.641020,-0.216108,0.400371,0.349610,-1.819927,-0.553516,1.067868,0.955503,0.291416,-0.045716
1773140864.661396,-0.319726,0.479966,0.334284,-1.571496,-0.427875,1.058668,0.961129,0.272292,-0.045694
1773140864.681462,-0.391167,0.572531,0.414126,-1.565097,-0.208599,0.898507,0.966042,0.254602,-0.044055
1773140864.701677,-0.409945,0.612896,0.489108,-1.599994,0.178946,0.725387,0.970004,0.240299,-0.036731
1773140864.721556,-0.303117,0.622038,0.616414,-1.766686,0.477622,0.551286,0.973253,0.228701,-0.021810
1773140864.741695,-0.190027,0.721308,0.705324,-1.613078,0.782231,0.412713,0.975564,0.219701,-0.002366
1773140864.762204,-0.164629,0.852201,0.758245,-1.257626,1.462067,0.129656,0.976504,0.213991,0.025462
1773140864.781938,-0.003897,0.862474,0.751122,-0.788460,2.116550,-0.214583,0.974646,0.213927,0.065574
1773140864.801982,0.172783,0.785985,0.806469,-0.676120,2.500934,-0.531276,0.968803,0.220103,0.113910
1773140864.822166,0.241452,0.716940,0.853357,-0.872579,3.007667,-0.869010,0.957782,0.231623,0.170309
1773140864.842292,0.294118,0.712767,0.841498,-0.938848,3.605399,-1.171670,0.939112,0.247911,0.237924
1773140864.862276,0.369403,0.758145,0.750185,-0.604033,4.281758,-1.394346,0.910474,0.267566,0.315351
1773140864.882504,0.537564,0.768089,0.702447,-0.165773,4.857941,-1.695542,0.868793,0.292473,0.399573
1773140864.902647,0.746516,0.721040,0.668251,0.071546,5.233196,-1.958962,0.812383,0.323408,0.485222
1773140864.924889,0.895546,0.646594,0.555361,0.028917,5.515917,-2.162158,0.741143,0.356519,0.568861
1773140864.942734,0.964566,0.546987,0.375810,0.103522,5.793012,-2.271962,0.655215,0.388072,0.648146
1773140864.963137,1.040708,0.511883,0.082994,0.451293,5.966980,-2.362422,0.555270,0.420017,0.717817
1773140864.983025,1.122748,0.448495,-0.330390,1.310032,5.690745,-2.389446,0.446481,0.456992,0.769293
1773140865.003132,1.144033,0.345069,-0.546894,1.584224,4.970880,-2.522456,0.338572,0.499551,0.797382
1773140865.023136,1.251521,-0.013326,-0.671449,1.504632,4.303954,-2.758085,0.236043,0.540472,0.807573
1773140865.043153,1.437540,-0.160721,-0.630113,0.198387,3.302332,-2.905372,0.142279,0.564606,0.813005
1773140865.063455,1.268165,-0.181085,-0.865522,-0.761616,2.392795,-2.967128,0.062585,0.565011,0.822706
1773140865.083430,1.163417,-0.274375,-0.999411,-1.357391,1.673985,-3.134704,-0.005641,0.548973,0.835822
1773140865.103573,1.296830,-0.365360,-1.034848,-1.661274,0.905841,-3.281653,-0.062226,0.521275,0.851118
1773140865.123643,1.275732,-0.336506,-1.108486,-1.600759,0.237856,-3.309635,-0.105428,0.486973,0.867031
1773140865.143691,1.109385,-0.295617,-1.171122,-1.455684,-0.290499,-3.261953,-0.135859,0.451928,0.881648
1773140865.164253,1.020168,-0.304010,-0.897242,-1.207219,-0.933974,-3.252372,-0.153561,0.417856,0.895442
