timestamp,ax,ay,az,gx,gy,gz,grx,gry,grz
1773765961.038473,0.668350,0.533990,0.451089,-0.891970,-1.019586,0.210916,0.996384,0.081824,0.022895
1773765961.058722,0.616974,0.496921,0.598839,-1.060361,-1.089784,-0.088922,0.996795,0.079937,0.002983
1773765961.078868,0.484900,0.420225,0.625616,-1.269434,-0.945079,-0.535775,0.996149,0.086199,-0.016058
1773765961.098881,0.251138,0.315256,0.511055,-1.439666,-0.397965,-1.047336,0.994315,0.102866,-0.027504
1773765961.118799,0.046293,0.270903,0.337615,-1.322406,0.317452,-1.488416,0.991274,0.129365,-0.025298
1773765961.139170,-0.023438,0.250938,0.156350,-0.711431,0.883430,-1.777915,0.986649,0.162560,-0.009941
1773765961.159334,-0.103653,0.201721,0.052343,0.182704,1.207973,-1.907676,0.979859,0.199341,0.011820
1773765961.179326,-0.141942,0.063277,-0.048022,1.023261,1.382288,-1.963346,0.970708,0.237764,0.034564
1773765961.199443,-0.098771,-0.059631,-0.112284,1.540103,1.348428,-2.023136,0.959138,0.277649,0.054453
1773765961.219604,-0.070186,-0.153142,-0.116382,1.617845,1.147999,-2.033559,0.945308,0.318822,0.068881
1773765961.239636,-0.031678,-0.310749,-0.164090,1.715083,0.752352,-1.889798,0.930665,0.358036,0.075315
1773765961.259565,-0.133134,-0.465605,-0.154077,1.582219,0.745961,-2.049018,0.915102,0.396055,0.075693
1773765961.279776,-0.020813,-0.535529,-0.101707,0.816861,0.346398,-1.881896,0.898118,0.433341,0.074837
1773765961.299966,-0.202992,-0.518167,-0.145382,0.285704,0.287823,-1.897654,0.880421,0.468088,0.075848
1773765961.319925,-0.188062,-0.595210,-0.179227,-0.125320,0.192486,-1.791553,0.861982,0.500682,0.079405
1773765961.340131,-0.268991,-0.656074,-0.232514,-0.229491,0.111958,-1.500194,0.844812,0.528480,0.083680
1773765961.360122,-0.300255,-0.735879,-0.235591,-0.428163,-0.113096,-1.207348,0.829811,0.551141,0.087505
1773765961.380115,-0.313628,-0.761174,-0.237933,-0.620911,-0.262678,-0.780165,0.818984,0.566701,0.090090
1773765961.400327,-0.320202,-0.819676,-0.232599,-0.864030,-0.444875,-0.343739,0.812985,0.574833,0.092859
1773765961.420361,-0.226735,-0.680199,-0.208682,-0.960976,-0.694222,0.070663,0.812535,0.575249,0.094211
1773765961.440701,-0.121950,-0.581191,-0.171008,-0.956339,-1.088992,0.606727,0.818163,0.567809,0.090563
1773765961.460733,0.015914,-0.509505,-0.051316,-1.250123,-1.352522,0.972515,0.829209,0.552871,0.082138
1773765961.480586,0.554331,-0.566323,0.262321,-2.148082,-1.653051,1.318016,0.844122,0.530801,0.075555
